iter	loss_d	loss_g	p_real	p_fake	p_gen	V	S	B	Xi
1	1.36617	3.66512	0.50478	0.48026	0.01778	1.0	3.01092	-0.16352	-0.12766
101	0.62359	5.97114	0.76897	0.0993	0.00186	1.0	3.34029	-0.0766	-0.19029
201	0.6726	5.8872	0.80831	0.1148	0.00367	1.0	3.17726	-0.1039	-0.16391
301	0.53208	5.97498	0.83375	0.1003	0.00231	1.0	3.19693	-0.09528	-0.1619
401	0.43876	5.2866	0.86965	0.03731	0.0035	1.0	3.32562	-0.07145	-0.19544
501	0.38176	4.55486	0.89872	0.01552	0.00639	1.0	3.64898	0.03735	-0.25561
601	0.36112	4.97281	0.88999	0.01634	0.00418	1.0	3.0983	-0.12111	-0.1515
701	0.36027	5.0225	0.90393	0.01213	0.004	1.0	3.79968	0.08082	-0.27463
801	0.36733	4.77038	0.89267	0.01186	0.0055	1.0	3.76018	0.07059	-0.27247
901	0.35571	4.95944	0.89596	0.00977	0.00428	1.0	3.54783	0.02785	-0.23003
1001	0.34846	5.01504	0.88484	0.00481	0.00389	1.0	3.56266	-0.00095	-0.24199
1101	0.34946	5.21852	0.89101	0.00466	0.00312	1.0	3.64327	0.02978	-0.25151
1201	0.34391	5.37474	0.89778	0.00662	0.00288	1.0	3.67958	0.03731	-0.25702
1301	0.33913	5.25479	0.89945	0.00461	0.00302	1.0	3.54005	0.00472	-0.23438
1401	0.33511	5.663	0.89418	0.00327	0.00209	1.0	3.67939	0.05102	-0.25741
1501	0.33427	5.66484	0.87942	0.00181	0.00188	1.0	3.64366	0.04754	-0.24621
1601	0.33907	5.12235	0.89332	0.0058	0.0036	1.0	3.52432	-0.00026	-0.23306
1701	0.35345	5.39538	0.92011	0.00763	0.00278	1.0	3.64151	0.03644	-0.25278
1801	0.3436	5.31618	0.89234	0.0037	0.00343	1.0	3.83507	0.10104	-0.2832
1901	0.34684	4.97353	0.89748	0.00577	0.00422	1.0	3.83253	0.09012	-0.28464
2001	0.36044	5.46857	0.93921	0.00882	0.00234	1.0	3.5435	0.01663	-0.23694
2101	0.3432	5.34587	0.90717	0.00389	0.00274	1.0	3.52541	0.02155	-0.23139
2201	0.34542	4.89155	0.88459	0.00411	0.00514	1.0	3.64737	0.05311	-0.25024
2301	0.34275	5.23928	0.89812	0.00381	0.00332	1.0	3.67489	0.06759	-0.25161
2401	0.342	5.20155	0.89446	0.00365	0.00338	1.0	3.641	0.0547	-0.24877
2501	0.33961	5.1188	0.90363	0.00465	0.00343	1.0	3.73685	0.07808	-0.26358
2601	0.34328	5.67155	0.87575	0.00198	0.00207	1.0	3.79484	0.11479	-0.26962
2701	0.34558	4.79584	0.87477	0.00346	0.00587	1.0	3.73366	0.08308	-0.26188
2801	0.34486	5.27869	0.89517	0.00343	0.00342	1.0	3.7119	0.0843	-0.25582
2901	0.35147	5.19438	0.89681	0.0071	0.00339	1.0	3.71402	0.07703	-0.26265
3001	0.34056	4.83196	0.8896	0.00495	0.00488	1.0	3.8101	0.109	-0.27294
3101	0.36659	5.64495	0.92816	0.0104	0.00247	1.0	3.68851	0.07322	-0.253
3201	0.34221	5.2347	0.89705	0.00411	0.00337	1.0	3.66999	0.06047	-0.25456
3301	0.3386	5.59998	0.89206	0.00252	0.00219	1.0	3.60355	0.05339	-0.24129
3401	0.55956	7.04581	0.88395	0.03963	0.00427	1.0	3.62987	0.04948	-0.24666
3501	0.46983	5.95856	0.88873	0.03231	0.00147	1.0	3.09703	-0.01078	-0.1312
3601	0.46338	7.64333	0.85159	0.02167	0.00237	1.0	3.92251	0.14867	-0.27066
3701	0.39522	4.94823	0.87855	0.02501	0.00493	1.0	3.43697	0.1364	-0.14869
3801	0.35572	4.80506	0.89181	0.01399	0.0058	1.0	3.31738	-0.06053	-0.19057
3901	0.40934	4.32896	0.87314	0.03203	0.01547	1.0	3.9476	0.19467	-0.25365
4001	0.33778	5.28251	0.92141	0.0057	0.00326	1.0	2.5	-0.21391	-0.03724
4101	0.33342	6.44714	0.91243	0.00332	0.00109	1.0	3.3539	-0.07513	-0.19409
4201	0.36734	3.95475	0.87872	0.02061	0.01731	1.0	4.13371	0.25189	-0.28101
4301	0.36341	4.83829	0.89282	0.01286	0.00942	1.0	4.25137	0.38425	-0.22743
4401	0.4001	5.82788	0.96283	0.02434	0.002	1.0	4.52274	0.69717	0.04126
4501	0.52107	3.75093	0.85344	0.05657	0.04768	1.0	4.60768	0.67515	-0.00983
4601	0.55731	4.14793	0.8686	0.07175	0.05063	1.0	4.5488	0.6465	-0.03885
4701	0.46926	4.57642	0.86854	0.03108	0.01414	1.0	4.46582	0.70045	0.08263
4801	0.58055	3.94311	0.86321	0.09688	0.04157	1.0	4.56315	0.66813	-0.00611
4901	0.49912	3.07626	0.83748	0.12535	0.03707	1.0	4.47186	0.67964	0.04658
5001	0.37278	3.37769	0.85576	0.03086	0.02579	1.0	4.72362	0.80799	0.14571
5101	0.40989	3.64625	0.84928	0.05378	0.02097	1.0	4.72293	0.84278	0.21046
5201	0.4471	3.48063	0.86132	0.06248	0.03093	1.0	4.86004	0.9477	0.34279
5301	0.54982	4.12519	0.84661	0.05265	0.02749	1.0	4.78847	0.94186	0.361
5401	0.38431	3.4715	0.88136	0.04415	0.02259	0.99999	4.78128	0.90441	0.28585
5501	0.4414	3.26534	0.82936	0.07857	0.03019	0.99903	4.71504	0.90811	0.31789
5601	0.53984	3.34818	0.83158	0.08278	0.05309	0.99984	4.78753	0.98736	0.44284
5701	0.5046	3.32482	0.83052	0.06088	0.04366	0.99903	4.96819	1.08551	0.55943
5801	0.65132	3.60719	0.79682	0.10397	0.05198	0.99552	4.79928	1.03593	0.53292
5901	0.47957	2.76588	0.77479	0.05246	0.07371	0.98982	4.73324	1.02314	0.53775
6001	0.54645	3.68099	0.81897	0.13621	0.02847	0.97398	4.74747	1.03312	0.54456
6101	0.72873	2.63723	0.76653	0.15221	0.11006	0.97593	4.68351	1.03538	0.57404
6201	0.63273	3.05091	0.77831	0.11651	0.06819	0.96586	4.61544	1.00634	0.53864
6301	0.63202	3.17095	0.79234	0.11236	0.06995	0.96062	4.60868	1.01561	0.55685
6401	0.43909	2.80101	0.79064	0.04144	0.05747	0.9323	4.57873	1.00705	0.54135
6501	0.51323	2.99946	0.75044	0.07327	0.04473	0.96256	4.54674	1.04318	0.63617
6601	0.59894	2.97452	0.84953	0.16901	0.04978	0.92379	4.36278	0.97228	0.55713
