iter	loss_d	loss_g	p_real	p_fake	p_gen	V	S	B	Xi
1	1.4314	1.6261	0.50637	0.5156	0.17282	1.0	3.20581	-0.12902	-0.17328
101	0.35314	5.10047	0.88496	0.01586	0.00401	1.0	3.48163	-0.05406	-0.22849
201	0.33508	11.91034	0.90711	0.00079	0.00017	1.0	3.63504	-0.0042	-0.25836
301	0.33577	7.25716	0.90311	0.00362	0.0007	1.0	3.75526	0.0436	-0.27367
401	0.33384	6.30325	0.90077	0.00357	0.00092	1.0	2.96187	-0.16303	-0.11494
501	0.33436	6.91009	0.9041	0.00193	0.00056	1.0	3.60632	-0.00862	-0.25687
601	0.33026	6.75826	0.90159	0.00179	0.00056	1.0	2.64542	-0.21269	-0.04708
701	0.3368	5.75669	0.86472	0.00097	0.00198	1.0	3.69879	0.02139	-0.27457
801	0.33457	6.13162	0.88055	0.00138	0.00118	1.0	3.45351	-0.03707	-0.21095
901	0.33585	6.52533	0.87382	0.00096	0.00077	1.0	3.28959	-0.0787	-0.18019
1001	0.32925	6.398	0.89418	0.00114	0.00091	1.0	3.68952	0.03696	-0.26131
1101	0.33235	6.46518	0.90653	0.00201	0.00083	1.0	3.43123	-0.02514	-0.20626
1201	0.32767	6.53397	0.89687	0.00124	0.00071	1.0	3.87426	0.10377	-0.28993
1301	0.32911	6.83256	0.89231	0.00071	0.00056	1.0	3.86413	0.07927	-0.29103
1401	0.32934	6.69791	0.88392	0.00076	0.0006	1.0	3.42938	-0.01475	-0.20552
1501	0.3316	7.06718	0.9077	0.00119	0.00045	1.0	3.4078	-0.01658	-0.20244
