iter	loss_d	loss_g	p_real	p_fake	p_gen	V	S	B	Xi
1621	1.11178	2.69472	0.70031	0.40222	0.1208	0.19843	0.12593	0.00252	7e-05
1651	1.12614	2.31506	0.65039	0.36306	0.1638	0.1903	0.12227	0.0024	6e-05
1681	1.13342	1.06127	0.43094	0.17494	0.43554	0.16555	0.11726	0.00263	9e-05
1711	1.13083	1.4086	0.5029	0.23716	0.3308	0.17077	0.11814	0.00255	8e-05
1741	1.13564	1.56863	0.53874	0.27548	0.27761	0.16949	0.11882	0.00261	7e-05
1771	0.95973	1.75066	0.61289	0.28756	0.18243	0.17538	0.11824	0.00224	3e-05
1801	1.1688	1.77538	0.57669	0.30948	0.2104	0.16053	0.10767	0.00222	5e-05
1831	1.21965	0.90655	0.35202	0.14637	0.4182	0.21368	0.14011	0.00272	5e-05
1861	1.14597	1.31379	0.46588	0.22045	0.31875	0.19824	0.1319	0.00263	5e-05
1891	1.14877	1.53156	0.51981	0.26741	0.27176	0.19154	0.12716	0.00244	3e-05
1921	1.32733	1.34532	0.35012	0.18178	0.27908	0.15885	0.12389	0.00301	9e-05
1951	1.22978	1.51837	0.45712	0.23992	0.25488	0.17152	0.12692	0.00277	6e-05
1981	1.17039	1.61488	0.52235	0.27296	0.23973	0.16767	0.1243	0.00265	4e-05
2011	0.93583	1.6858	0.60474	0.2721	0.18347	0.15773	0.11894	0.00275	4e-05
2041	1.06835	1.68932	0.58203	0.30413	0.20074	0.15151	0.11402	0.00263	4e-05
2071	1.13439	1.65662	0.57039	0.31468	0.22588	0.15442	0.11534	0.00256	4e-05
2101	1.09486	1.59746	0.5753	0.34247	0.20641	0.14699	0.11617	0.00283	6e-05
2131	1.09588	1.63649	0.58135	0.32783	0.21614	0.15079	0.11691	0.00273	6e-05
2161	0.96742	1.47638	0.70778	0.39103	0.21225	0.18523	0.13831	0.00274	0.0
2191	1.02125	1.57534	0.65827	0.35358	0.21752	0.16791	0.12898	0.00271	2e-05
2221	1.21572	1.60195	0.57855	0.36369	0.22766	0.14955	0.12298	0.00294	6e-05
2251	1.12352	2.24564	0.70471	0.46263	0.10551	0.17962	0.13057	0.00274	5e-05
2281	1.14388	1.93979	0.64293	0.4017	0.16907	0.17801	0.13122	0.00268	4e-05
2311	1.18681	1.78465	0.60283	0.37552	0.20393	0.16398	0.12559	0.00266	4e-05
2341	0.9638	1.99971	0.6607	0.32716	0.14694	0.16202	0.11991	0.0026	6e-05
2371	1.00003	1.7994	0.63143	0.32171	0.18512	0.16102	0.12198	0.00262	5e-05
2401	1.04188	1.69536	0.61015	0.3133	0.2137	0.16521	0.12516	0.00266	5e-05
2431	0.92333	1.62785	0.63971	0.30365	0.19451	0.16357	0.11366	0.00228	2e-05
2461	0.98446	1.63602	0.62165	0.30596	0.20855	0.16382	0.11774	0.00238	3e-05
2491	0.84003	2.44814	0.7071	0.32239	0.07069	0.15283	0.09891	0.00183	4e-05
2521	1.09776	2.12893	0.61665	0.34725	0.14055	0.1548	0.1079	0.00213	5e-05
2551	1.09935	1.82661	0.59171	0.34274	0.18626	0.16059	0.11741	0.00244	6e-05
2581	0.85049	1.8056	0.6501	0.28445	0.15171	0.16624	0.12088	0.00243	5e-05
2611	0.90384	1.77693	0.64174	0.28514	0.17916	0.17067	0.12571	0.00246	4e-05
2641	0.98044	1.7213	0.61779	0.29297	0.19929	0.17171	0.12666	0.00253	5e-05
2671	0.80508	1.63201	0.63081	0.21738	0.18666	0.15067	0.12765	0.00301	6e-05
2701	0.83172	1.69595	0.64148	0.23163	0.18653	0.15572	0.1261	0.00283	6e-05
2731	0.841	1.7555	0.65004	0.23457	0.18443	0.16701	0.12929	0.00271	4e-05
2761	0.9328	2.53738	0.7636	0.38008	0.0911	0.1913	0.13591	0.00263	3e-05
2791	0.90739	2.24428	0.71331	0.31632	0.13044	0.18409	0.13287	0.0027	4e-05
2821	0.85988	2.11272	0.70236	0.27587	0.14589	0.18498	0.1299	0.0026	5e-05
2851	0.84053	2.28536	0.79484	0.31188	0.1107	0.16823	0.12231	0.00269	9e-05
2881	0.7582	2.17466	0.76257	0.25115	0.1196	0.17616	0.12594	0.00269	8e-05
2911	0.63982	2.54432	0.81361	0.23542	0.06544	0.18269	0.13381	0.00272	6e-05
2941	0.63061	2.38119	0.78289	0.20035	0.08901	0.1826	0.13158	0.00267	5e-05
2971	1.14071	2.20828	0.67263	0.26965	0.18392	0.18534	0.12507	0.00247	5e-05
3001	1.50981	1.13016	0.39937	0.41577	0.32654	0.14294	0.10537	0.00238	0.00011
3031	1.47134	1.12637	0.4383	0.41935	0.33977	0.15464	0.10581	0.00219	8e-05
3061	1.29838	1.41652	0.50842	0.37513	0.2804	0.17343	0.11818	0.00242	7e-05
3091	0.70012	1.71703	0.67354	0.19033	0.16605	0.18319	0.14631	0.00332	3e-05
3121	0.71019	1.86567	0.68847	0.18773	0.1593	0.17539	0.13625	0.00311	5e-05
3151	0.72806	1.94686	0.69688	0.1935	0.15133	0.18036	0.13593	0.003	7e-05
3181	0.5179	2.28148	0.78633	0.12514	0.08801	0.18518	0.12832	0.00242	3e-05
3211	0.53323	2.3006	0.77934	0.12509	0.09236	0.18557	0.12935	0.00245	4e-05
3241	1.28675	3.59258	0.80616	0.50808	0.04754	0.209	0.13611	0.00238	2e-05
3271	1.01682	2.89223	0.76588	0.36525	0.07871	0.19689	0.13482	0.00262	5e-05
3301	0.79644	2.66172	0.77299	0.25311	0.08337	0.18445	0.13011	0.00263	6e-05
3331	0.44123	2.89539	0.8238	0.07262	0.05177	0.18149	0.13512	0.00271	3e-05
3361	0.71006	2.52349	0.74126	0.15827	0.10806	0.18175	0.13187	0.00268	6e-05
3391	0.61061	2.5059	0.76625	0.13449	0.09148	0.18905	0.13486	0.00269	6e-05
3421	0.44147	2.84485	0.87662	0.09975	0.04454	0.18736	0.12766	0.00226	4e-05
3451	0.47981	2.75423	0.8417	0.10056	0.05898	0.19129	0.12894	0.00225	4e-05
3481	0.44981	2.81398	0.84181	0.08174	0.05354	0.19367	0.12827	0.00229	4e-05
3511	0.39984	2.86349	0.82955	0.041	0.04668	0.19484	0.11489	0.00193	6e-05
3541	0.40551	2.92838	0.83691	0.04698	0.04528	0.19176	0.11557	0.002	5e-05
3571	1.33915	0.99195	0.48503	0.40215	0.38271	0.19314	0.09701	0.00149	3e-05
3601	1.36844	1.05956	0.47435	0.40594	0.35884	0.17609	0.09655	0.00162	3e-05
3631	1.3364	1.28649	0.50395	0.3861	0.31371	0.17644	0.10093	0.00175	3e-05
3661	0.65932	2.32325	0.75776	0.17643	0.09971	0.19531	0.12805	0.00269	8e-05
3691	0.95171	1.8753	0.65062	0.2651	0.1944	0.18544	0.12062	0.00248	8e-05
3721	0.80331	1.98838	0.69016	0.22012	0.15706	0.19284	0.12447	0.00252	8e-05
3751	0.81526	1.35692	0.6584	0.24584	0.2869	0.19614	0.12185	0.00201	5e-05
3781	0.6465	1.9015	0.73197	0.17091	0.18533	0.19725	0.12267	0.00208	4e-05
3811	0.54074	2.31994	0.78098	0.1213	0.12298	0.18999	0.12142	0.00213	3e-05
3841	0.41469	3.11401	0.87612	0.06893	0.0371	0.19294	0.11865	0.00184	1e-05
3871	0.94057	2.23123	0.6861	0.23339	0.18867	0.18642	0.11531	0.00186	1e-05
3901	1.15622	1.70348	0.58665	0.32531	0.26051	0.18178	0.11309	0.00188	1e-05
3931	1.39914	1.32114	0.48321	0.41404	0.29438	0.18461	0.11692	0.002	0.0
3961	1.05384	1.78207	0.60556	0.29878	0.2064	0.18107	0.12099	0.00223	3e-05
3991	0.47746	2.07301	0.73174	0.0517	0.11078	0.21031	0.138	0.00261	3e-05
4021	0.68042	2.27846	0.71744	0.11416	0.12452	0.20514	0.13393	0.00241	3e-05
4051	0.58001	2.46485	0.76441	0.10356	0.09334	0.19967	0.13587	0.00261	6e-05
4081	0.45206	3.30852	0.90036	0.0898	0.03358	0.19508	0.13471	0.00275	0.0001
4111	0.4211	3.1927	0.88084	0.06866	0.03471	0.19434	0.12906	0.00242	7e-05
4141	0.40294	3.19795	0.87261	0.05494	0.03328	0.18993	0.12485	0.00224	6e-05
4171	0.3633	3.63374	0.86631	0.02738	0.01992	0.18697	0.11619	0.002	6e-05
4201	0.37193	3.50108	0.86657	0.03073	0.02418	0.18939	0.11707	0.00197	5e-05
4231	0.65303	3.08473	0.78004	0.10603	0.0905	0.18574	0.11804	0.00196	4e-05
4261	1.16524	1.68442	0.61409	0.37341	0.22242	0.17878	0.11483	0.00192	5e-05
4291	0.8433	2.17714	0.70656	0.24279	0.14512	0.19746	0.12652	0.00217	6e-05
4321	0.37417	3.64625	0.90909	0.04146	0.01888	0.26584	0.14693	0.00171	1e-05
4351	0.37747	3.53682	0.89133	0.03779	0.02254	0.23923	0.13856	0.0019	2e-05
4381	0.78687	3.12116	0.78986	0.11858	0.10193	0.22017	0.12927	0.00194	3e-05
4411	1.29656	1.26001	0.37143	0.13807	0.33851	0.153	0.11527	0.0029	0.00017
4441	1.06816	1.79952	0.5319	0.16102	0.24383	0.17305	0.12128	0.00262	0.00012
4471	0.79189	2.28435	0.66308	0.12111	0.15518	0.19253	0.12854	0.00251	9e-05
4501	0.3904	2.90475	0.82315	0.03303	0.04413	0.20592	0.13235	0.0022	0.0001
4531	0.38365	3.12459	0.84271	0.03281	0.03617	0.20756	0.13078	0.00215	8e-05
4561	0.37826	3.29349	0.85651	0.03151	0.03086	0.19606	0.12396	0.0021	7e-05
4591	0.37728	3.77045	0.88215	0.03207	0.02224	0.18898	0.11227	0.00187	4e-05
4621	0.88965	2.9606	0.73688	0.16837	0.13965	0.17932	0.10791	0.00185	4e-05
4651	0.46261	2.56374	0.77318	0.06731	0.06281	0.21839	0.12787	0.00221	1e-05
4681	0.44321	2.73692	0.80154	0.06357	0.05696	0.22365	0.13247	0.00216	3e-05
4711	0.92046	2.23514	0.68364	0.21021	0.16901	0.22011	0.12518	0.00205	3e-05
4741	1.1508	1.29222	0.54391	0.36368	0.28317	0.1656	0.09808	0.00175	3e-05
