iter	loss_d	loss_g	p_real	p_fake	p_gen	V	S	B	Xi
1	1.44531	10.94685	0.48479	0.50258	1e-05	0.53008	0.92437	-0.00446	-0.02312
31	2.2828	9.51696	0.54806	0.57483	0.00727	0.50962	0.9032	0.00168	-0.02227
61	2.39152	8.48371	0.60999	0.56172	0.00471	0.49513	0.77737	0.00332	-0.01626
91	0.7551	5.68495	0.79378	0.21423	0.00355	0.53396	0.82628	0.00262	-0.01515
121	0.9491	4.90048	0.77443	0.29965	0.02271	0.44825	0.59108	0.00212	-0.00922
151	0.87137	3.98983	0.76542	0.26825	0.04075	0.32751	0.38064	0.00217	-0.00503
181	0.46706	2.49017	0.84372	0.10166	0.0724	0.21091	0.13199	0.0022	3e-05
211	0.62194	2.42444	0.80796	0.15012	0.10003	0.20979	0.13748	0.00248	4e-05
241	0.57054	2.55987	0.80838	0.13266	0.08228	0.16146	0.12018	0.0028	0.00011
271	0.55239	3.45635	0.84481	0.07325	0.03644	0.14248	0.12113	0.0032	0.0001
301	0.73793	2.85346	0.75891	0.15609	0.08778	0.1344	0.1081	0.0027	9e-05
331	0.84059	2.77169	0.7184	0.19385	0.09728	0.12596	0.09691	0.00237	8e-05
361	0.75553	2.86422	0.73646	0.18194	0.06847	0.11697	0.08676	0.00209	0.0001
391	0.83091	2.90471	0.71392	0.19791	0.07622	0.14341	0.10142	0.00226	9e-05
421	1.48321	5.39355	0.89988	0.58647	0.02771	0.1806	0.10817	0.00212	7e-05
451	1.22644	4.04517	0.78181	0.43508	0.06518	0.18525	0.12011	0.00252	8e-05
481	1.0762	3.3172	0.73537	0.33851	0.09151	0.17561	0.1205	0.00265	9e-05
511	0.80387	2.49605	0.72899	0.27631	0.08518	0.20241	0.17485	0.0041	5e-05
541	0.90563	2.32211	0.68444	0.27245	0.11639	0.20425	0.15961	0.00354	6e-05
571	0.9937	2.23678	0.65233	0.27959	0.13842	0.19603	0.15209	0.00346	7e-05
601	1.04709	1.23799	0.4585	0.14284	0.33889	0.18826	0.13093	0.00282	9e-05
631	1.05427	1.55433	0.53032	0.20526	0.2705	0.19275	0.13352	0.00276	7e-05
661	1.08497	1.8379	0.57004	0.24746	0.21875	0.19488	0.13107	0.00268	7e-05
691	0.95665	2.00515	0.69141	0.32696	0.1465	0.19433	0.13765	0.0031	9e-05
721	0.98807	1.95463	0.65937	0.30342	0.16861	0.19195	0.13332	0.00302	0.0001
751	1.13579	0.75555	0.35962	0.08302	0.53691	0.18943	0.13245	0.00276	3e-05
781	1.13215	1.2405	0.4691	0.18483	0.37826	0.18811	0.13447	0.003	6e-05
811	1.1099	1.53427	0.53226	0.24159	0.30057	0.17732	0.12917	0.00311	0.0001
841	1.06165	0.96653	0.43591	0.1554	0.41998	0.15406	0.12062	0.00308	0.00011
871	1.08805	1.23598	0.49866	0.23438	0.3371	0.16477	0.12491	0.00305	0.0001
901	1.17612	1.48942	0.53385	0.26825	0.28796	0.16358	0.1209	0.00292	0.0001
931	0.90049	1.63878	0.63774	0.28835	0.18961	0.18502	0.12895	0.00289	0.00011
961	1.03493	1.61541	0.59717	0.31395	0.20534	0.18026	0.12623	0.00282	9e-05
991	1.14335	1.66122	0.57789	0.32264	0.2238	0.18117	0.12766	0.00288	0.0001
1021	1.10151	1.99606	0.65017	0.37564	0.15267	0.16127	0.12411	0.00311	0.0001
1051	1.14946	1.81833	0.61025	0.36358	0.18964	0.1681	0.12601	0.00299	9e-05
1081	0.86768	1.59814	0.60516	0.2635	0.18566	0.19207	0.14602	0.00361	9e-05
1111	1.06747	1.62762	0.57921	0.30397	0.20756	0.18479	0.13937	0.00335	9e-05
1141	1.11564	1.61891	0.56867	0.31907	0.21746	0.18051	0.13553	0.00321	9e-05
1171	1.34666	1.7305	0.58805	0.51206	0.16487	0.17266	0.11935	0.00291	0.00014
1201	1.27193	1.66649	0.57392	0.43667	0.19683	0.17491	0.12318	0.00293	0.00012
1231	1.24214	1.65788	0.56624	0.39447	0.21152	0.17196	0.12244	0.0029	0.00012
1261	1.06148	1.59329	0.58029	0.35281	0.19466	0.1718	0.13369	0.00341	0.0001
1291	1.11571	1.6453	0.57799	0.34629	0.21187	0.17678	0.13089	0.00312	9e-05
1321	1.11248	1.68667	0.58571	0.32852	0.21503	0.18033	0.1311	0.00303	8e-05
1351	1.15846	2.26623	0.71404	0.455	0.12297	0.20912	0.13728	0.00274	7e-05
1381	1.16938	1.98504	0.64577	0.39175	0.17042	0.20072	0.13601	0.0028	7e-05
1411	1.15356	1.90177	0.61847	0.35902	0.19106	0.19557	0.13409	0.00282	7e-05
1441	1.12781	1.46865	0.55956	0.34704	0.23496	0.18581	0.14024	0.00326	6e-05
1471	1.12159	1.59028	0.57361	0.32626	0.23016	0.18159	0.134	0.00307	6e-05
1501	1.30212	1.25138	0.43974	0.37118	0.27403	0.1667	0.11514	0.00262	6e-05
1531	1.22212	1.46844	0.50261	0.34974	0.24562	0.17027	0.11771	0.00267	7e-05
1561	1.21565	1.65047	0.53212	0.3347	0.2338	0.16548	0.1146	0.00265	8e-05
1591	1.13497	3.3968	0.78419	0.48065	0.06066	0.21649	0.13117	0.00251	6e-05
